date,daily-stars,total-stars
17-09-2016,9,15395
18-09-2016,16,15411
19-09-2016,34,15445
20-09-2016,17,15462
21-09-2016,25,15487
22-09-2016,25,15512
23-09-2016,16,15528
24-09-2016,12,15540
25-09-2016,11,15551
26-09-2016,33,15584
27-09-2016,38,15622
28-09-2016,40,15662
29-09-2016,41,15703
30-09-2016,35,15738
01-10-2016,12,15750
02-10-2016,11,15761
03-10-2016,20,15781
04-10-2016,18,15799
05-10-2016,20,15819
06-10-2016,26,15845
07-10-2016,26,15871
08-10-2016,17,15888
09-10-2016,23,15911
10-10-2016,18,15929
11-10-2016,21,15950
12-10-2016,31,15981
13-10-2016,43,16024
14-10-2016,24,16048
15-10-2016,19,16067
16-10-2016,23,16090
17-10-2016,43,16133
18-10-2016,37,16170
19-10-2016,30,16200
20-10-2016,51,16251
21-10-2016,26,16277
22-10-2016,26,16303
23-10-2016,15,16318
24-10-2016,29,16347
25-10-2016,30,16377
26-10-2016,29,16406
27-10-2016,25,16431
28-10-2016,12,16443
29-10-2016,9,16452
30-10-2016,14,16466
31-10-2016,31,16497
01-11-2016,28,16525
02-11-2016,27,16552
03-11-2016,26,16578
04-11-2016,32,16610
05-11-2016,15,16625
06-11-2016,14,16639
07-11-2016,32,16671
08-11-2016,29,16700
09-11-2016,28,16728
10-11-2016,29,16757
11-11-2016,20,16777
12-11-2016,11,16788
13-11-2016,14,16802
14-11-2016,20,16822
15-11-2016,31,16853
16-11-2016,21,16874
17-11-2016,27,16901
18-11-2016,27,16928
19-11-2016,16,16944
20-11-2016,8,16952
21-11-2016,22,16974
22-11-2016,39,17013
23-11-2016,32,17045
24-11-2016,25,17070
25-11-2016,22,17092
26-11-2016,15,17107
27-11-2016,17,17124
28-11-2016,31,17155
29-11-2016,32,17187
30-11-2016,30,17217
01-12-2016,31,17248
02-12-2016,17,17265
03-12-2016,16,17281
04-12-2016,11,17292
05-12-2016,24,17316
06-12-2016,23,17339
07-12-2016,28,17367
08-12-2016,42,17409
09-12-2016,34,17443
10-12-2016,9,17452
11-12-2016,14,17466
12-12-2016,27,17493
13-12-2016,97,17590
14-12-2016,47,17637
15-12-2016,24,17661
16-12-2016,19,17680
17-12-2016,18,17698
18-12-2016,16,17714
19-12-2016,17,17731
20-12-2016,29,17760
21-12-2016,23,17783
22-12-2016,28,17811
23-12-2016,23,17834
24-12-2016,10,17844
25-12-2016,11,17855
26-12-2016,20,17875
27-12-2016,23,17898
28-12-2016,25,17923
29-12-2016,26,17949
30-12-2016,19,17968
31-12-2016,15,17983
01-01-2017,5,17988
02-01-2017,16,18004
03-01-2017,23,18027
04-01-2017,16,18043
05-01-2017,29,18072
06-01-2017,23,18095
07-01-2017,10,18105
08-01-2017,22,18127
09-01-2017,17,18144
10-01-2017,25,18169
11-01-2017,17,18186
12-01-2017,22,18208
13-01-2017,23,18231
14-01-2017,10,18241
15-01-2017,10,18251
16-01-2017,26,18277
17-01-2017,27,18304
18-01-2017,20,18324
19-01-2017,26,18350
20-01-2017,31,18381
21-01-2017,18,18399
22-01-2017,14,18413
23-01-2017,30,18443
24-01-2017,20,18463
25-01-2017,15,18478
26-01-2017,24,18502
27-01-2017,17,18519
28-01-2017,9,18528
29-01-2017,7,18535
30-01-2017,17,18552
31-01-2017,19,18571
01-02-2017,21,18592
02-02-2017,23,18615
03-02-2017,27,18642
04-02-2017,24,18666
05-02-2017,12,18678
06-02-2017,22,18700
07-02-2017,27,18727
08-02-2017,31,18758
09-02-2017,32,18790
10-02-2017,32,18822
11-02-2017,25,18847
12-02-2017,18,18865
13-02-2017,32,18897
14-02-2017,31,18928
15-02-2017,22,18950
16-02-2017,37,18987
17-02-2017,29,19016
18-02-2017,24,19040
19-02-2017,24,19064
20-02-2017,25,19089
21-02-2017,41,19130
22-02-2017,52,19182
23-02-2017,27,19209
24-02-2017,24,19233
25-02-2017,14,19247
26-02-2017,15,19262
27-02-2017,38,19300
28-02-2017,28,19328
01-03-2017,34,19362
02-03-2017,39,19401
03-03-2017,25,19426
04-03-2017,19,19445
05-03-2017,17,19462
06-03-2017,25,19487
07-03-2017,26,19513
08-03-2017,40,19553
09-03-2017,29,19582
10-03-2017,17,19599
11-03-2017,12,19611
12-03-2017,12,19623
13-03-2017,42,19665
14-03-2017,40,19705
15-03-2017,56,19761
16-03-2017,39,19800
17-03-2017,20,19820
18-03-2017,19,19839
19-03-2017,21,19860
20-03-2017,33,19893
21-03-2017,25,19918
22-03-2017,36,19954
23-03-2017,32,19986
24-03-2017,32,20018
25-03-2017,21,20039
26-03-2017,22,20061
27-03-2017,35,20096
28-03-2017,41,20137
29-03-2017,51,20188
30-03-2017,38,20226
31-03-2017,26,20252
01-04-2017,28,20280
02-04-2017,17,20297
03-04-2017,24,20321
04-04-2017,22,20343
05-04-2017,36,20379
06-04-2017,22,20401
07-04-2017,28,20429
08-04-2017,18,20447
09-04-2017,9,20456
10-04-2017,30,20486
11-04-2017,33,20519
12-04-2017,27,20546
13-04-2017,35,20581
14-04-2017,31,20612
15-04-2017,16,20628
16-04-2017,15,20643
17-04-2017,15,20658
18-04-2017,19,20677
19-04-2017,22,20699
20-04-2017,35,20734
21-04-2017,18,20752
22-04-2017,15,20767
23-04-2017,18,20785
24-04-2017,43,20828
25-04-2017,39,20867
26-04-2017,28,20895
27-04-2017,34,20929
28-04-2017,34,20963
29-04-2017,17,20980
30-04-2017,12,20992
01-05-2017,22,21014
02-05-2017,38,21052
03-05-2017,28,21080
04-05-2017,31,21111
05-05-2017,23,21134
06-05-2017,11,21145
07-05-2017,11,21156
08-05-2017,27,21183
09-05-2017,27,21210
10-05-2017,25,21235
11-05-2017,41,21276
12-05-2017,32,21308
13-05-2017,12,21320
14-05-2017,22,21342
15-05-2017,28,21370
16-05-2017,30,21400
17-05-2017,41,21441
18-05-2017,27,21468
19-05-2017,25,21493
20-05-2017,13,21506
21-05-2017,15,21521
22-05-2017,40,21561
23-05-2017,48,21609
24-05-2017,31,21640
25-05-2017,26,21666
26-05-2017,27,21693
27-05-2017,14,21707
28-05-2017,9,21716
29-05-2017,14,21730
30-05-2017,17,21747
31-05-2017,28,21775
01-06-2017,35,21810
02-06-2017,36,21846
03-06-2017,13,21859
04-06-2017,14,21873
05-06-2017,31,21904
06-06-2017,29,21933
07-06-2017,32,21965
08-06-2017,30,21995
09-06-2017,30,22025
10-06-2017,25,22050
11-06-2017,15,22065
12-06-2017,35,22100
13-06-2017,22,22122
14-06-2017,30,22152
15-06-2017,36,22188
16-06-2017,37,22225
17-06-2017,13,22238
18-06-2017,9,22247
19-06-2017,23,22270
20-06-2017,37,22307
21-06-2017,35,22342
22-06-2017,33,22375
23-06-2017,27,22402
24-06-2017,16,22418
25-06-2017,14,22432
26-06-2017,20,22452
27-06-2017,36,22488
28-06-2017,33,22521
29-06-2017,41,22562
30-06-2017,33,22595
01-07-2017,16,22611
02-07-2017,13,22624
03-07-2017,31,22655
04-07-2017,33,22688
05-07-2017,32,22720
06-07-2017,39,22759
07-07-2017,32,22791
08-07-2017,11,22802
09-07-2017,17,22819
10-07-2017,27,22846
11-07-2017,31,22877
12-07-2017,55,22932
13-07-2017,44,22976
14-07-2017,32,23008
15-07-2017,26,23034
16-07-2017,13,23047
17-07-2017,33,23080
18-07-2017,32,23112
19-07-2017,42,23154
20-07-2017,32,23186
21-07-2017,29,23215
22-07-2017,24,23239
23-07-2017,20,23259
24-07-2017,22,23281
25-07-2017,26,23307
26-07-2017,34,23341
27-07-2017,27,23368
28-07-2017,35,23403
29-07-2017,17,23420
30-07-2017,11,23431
31-07-2017,22,23453
01-08-2017,69,23522
02-08-2017,32,23554
03-08-2017,35,23589
04-08-2017,35,23624
05-08-2017,19,23643
06-08-2017,16,23659
07-08-2017,23,23682
08-08-2017,37,23719
09-08-2017,48,23767
